"category_id","category_name","value_id","value_name"
"10","Frog vocalizing","20","Single calls"
"10","Frog vocalizing","21","Overlapping calls"
"10","Frog vocalizing","22","Full chorus"
"11","Breaking leaf buds","32","Less than 3"
"11","Breaking leaf buds","33","3 to 10"
"11","Breaking leaf buds","34","More than 10"
"12","Leaf canopy fullness","25","Less than 5%"
"12","Leaf canopy fullness","26","5-24%"
"12","Leaf canopy fullness","27","25-49%"
"12","Leaf canopy fullness","28","50-74%"
"12","Leaf canopy fullness","29","75-94%"
"12","Leaf canopy fullness","30","95% or more"
"13","Leaf size","31","Less than 25%"
"13","Leaf size","27","25-49%"
"13","Leaf size","28","50-74%"
"13","Leaf size","29","75-94%"
"13","Leaf size","30","95% or more"
"14","Colored leaf proportion","30","95% or more"
"14","Colored leaf proportion","29","75-94%"
"14","Colored leaf proportion","28","50-74%"
"14","Colored leaf proportion","27","25-49%"
"14","Colored leaf proportion","26","5-24%"
"14","Colored leaf proportion","25","Less than 5%"
"15","Young leaves present","32","Less than 3"
"15","Young leaves present","33","3 to 10"
"15","Young leaves present","34","More than 10"
"16","Young needles present","32","Less than 3"
"16","Young needles present","33","3 to 10"
"16","Young needles present","34","More than 10"
"17","Emerging needles","32","Less than 3"
"17","Emerging needles","33","3 to 10"
"17","Emerging needles","34","More than 10"
"18","Young needle bundles present","32","Less than 3"
"18","Young needle bundles present","33","3 to 10"
"18","Young needle bundles present","34","More than 10"
"19","Needle canopy fullness","25","Less than 5%"
"19","Needle canopy fullness","26","5-24%"
"19","Needle canopy fullness","27","25-49%"
"19","Needle canopy fullness","28","50-74%"
"19","Needle canopy fullness","29","75-94%"
"19","Needle canopy fullness","30","95% or more"
"20","Colored needle proportion","30","95% or more"
"20","Colored needle proportion","29","75-94%"
"20","Colored needle proportion","28","50-74%"
"20","Colored needle proportion","27","25-49%"
"20","Colored needle proportion","26","5-24%"
"20","Colored needle proportion","25","Less than 5%"
"21","Initial growth of buds or shoots","32","Less than 3"
"21","Initial growth of buds or shoots","33","3 to 10"
"21","Initial growth of buds or shoots","34","More than 10"
"22","Initial growth of shoots","32","Less than 3"
"22","Initial growth of shoots","33","3 to 10"
"22","Initial growth of shoots","34","More than 10"
"23","Fruits present","32","Less than 3"
"23","Fruits present","33","3 to 10"
"23","Fruits present","34","More than 10"
"24","Ripe fruits present","32","Less than 3"
"24","Ripe fruits present","33","3 to 10"
"24","Ripe fruits present","34","More than 10"
"25","Recent fruit drop","32","Less than 3"
"25","Recent fruit drop","33","3 to 10"
"25","Recent fruit drop","34","More than 10"
