"individual_id","individual_name","species_id","kingdom","active","file_url","station_id"
"132856","134-U*60","100","Plantae","1","",26202
"132860","304-94*1","100","Plantae","1","",26202
"132858","684-33*1","100","Plantae","1","",26202
"132849","2390-26*1","101","Plantae","1","",26202
"132877","597-2001*2","101","Plantae","1","",26202
"132878","696-2006*8","101","Plantae","1","",26202
"132850","354-37*1","102","Plantae","1","",26202
"132848","466-37*1","102","Plantae","1","",26202
"132872","64-92*1","102","Plantae","1","",26202
"132881","526-2000*4","704","Plantae","1","",26202
"132864","145-75*1","988","Plantae","1","",26202
"132863","145-75*2","988","Plantae","1","",26202
"132865","145-75*8","988","Plantae","1","",26202
"132873","1164-22*6","989","Plantae","1","",26202
"132880","573-40*7","989","Plantae","1","",26202
"132874","77-72*1","989","Plantae","1","",26202
"132857","185-92*2","1159","Plantae","1","",26202
"132853","185-92*4","1159","Plantae","1","",26202
"132855","185-92*5","1159","Plantae","1","",26202
"132879","1183-2004*1","1190","Plantae","1","",26202
"132867","1512-35*2","1190","Plantae","1","",26202
"132868","523-32*1","1190","Plantae","1","",26202
"132871","602-2000*1","1212","Plantae","1","",26202
"132870","606-2000*4","1212","Plantae","1","",26202
"132847","657-33*1","1212","Plantae","1","",26202
"132876","10-2008*1","1213","Plantae","1","",26202
"132875","1513-35*1","1213","Plantae","1","",26202
"132869","575-40*2","1213","Plantae","1","",26202
"132862","109-74*1","1366","Plantae","1","",26202
"132851","260-93*1","1485","Plantae","1","",26202
"132852","260-93*2","1485","Plantae","1","",26202
