"Obs.List","PlantNumber","Taxon","Vernacular","BgLatitude","BgLongitude","GardenGrid","GardenSubGrid"
1,"348-2005*6","Acer carpinifolium Siebold & Zucc.","Hornbeam Maple",41.816669,-88.050525,"S-102","60-59"
1,"262-2017*2","Acer grandidentatum 'JFS-NuMex 3'","Big-toothed Maple",41.816941,-88.050301,"T-103","57-23"
1,"424-2006*2","Acer negundo 'Crispum Variegatum'","Curly Variegated Boxelder",41.81693,-88.050533,"T-102","55-60"
1,"476-2015*1","Acer negundo var. violaceum Booth ex G.Kirchn.","Boxelder",41.816641,-88.050414,"S-102","49-89"
1,"476-2015*2","Acer negundo var. violaceum Booth ex G.Kirchn.","Boxelder",41.816825,-88.050292,"T-103","14-25"
1,"528-63*3","Acer nigrum F.Michx.","Black Maple",41.816468,-88.050472,"R-102","86-71"
1,"528-63*6","Acer nigrum F.Michx.","Black Maple",41.816792,-88.050545,"T-102","05-55"
1,"590-83*1","Acer pensylvanicum L.","Striped Maple",41.816868,-88.050046,"T-103","28-92"
1,"248-61*2","Acer rubrum 'Bowhall'","Bowhall Red Maple",41.81697,-88.05004,"T-103","65-95"
1,"124-52*1","Acer rubrum L.","Red Maple",41.816735,-88.050084,"S-103","80-80"
1,"124-52*2","Acer rubrum L.","Red Maple",41.81682,-88.050015,"T-104","10-00"
1,"598-57*2","Acer rubrum L.","Red Maple",41.816904,-88.049945,"T-104","40-20"
1,"598-57*3","Acer rubrum L.","Red Maple",41.817002,-88.049858,"T-104","75-45"
1,"599-57*1","Acer rubrum L.","Red Maple",41.816655,-88.050007,"S-104","50-00"
1,"928-61*1","Acer rubrum L.","Red Maple",41.816691,-88.050211,"S-103","65-45"
1,"155-97*1","Acer spicatum Lam.","Mountain Maple",41.81679,-88.050428,"T-102","03-87"
2,"276-2011*5","Acer henryi Pax","Chinese Boxelder",41.817942,-88.050696,"X-102","25-28"
2,"67-2001*1","Acer hyrcanum Fisch. & C.A.Mey.","Hyrcanian Maple",41.817721,-88.05062,"W-102","44-46"
2,"16-77*1","Acer monspessulanum L.","Montpellier Maple",41.817813,-88.050701,"W-102","78-25"
2,"62-2012*2","Acer saccharum 'Bailsta'","Sugar Maple",41.818116,-88.050648,"X-102","88-43"
2,"164-2016*1","Acer saccharum 'Morton'","Sugar Maple",41.818242,-88.050516,"Y-102","33-80"
2,"332-72*1","Acer saccharum Marshall","Sugar Maple",41.818376,-88.050003,"Y-104","77-22"
2,"332-72*2","Acer saccharum Marshall","Sugar Maple",41.818438,-88.049973,"Y-104","99-31"
2,"332-72*3","Acer saccharum Marshall","Sugar Maple",41.818503,-88.049136,"Z-106","15-60"
2,"332-72*4","Acer saccharum Marshall","Sugar Maple",41.818554,-88.049285,"Z-106","35-20"
2,"332-72*5","Acer saccharum Marshall","Sugar Maple",41.818612,-88.04914,"Z-106","55-60"
2,"332-72*6","Acer saccharum Marshall","Sugar Maple",41.818466,-88.048969,"Z-107","00-05"
2,"474-74*1","Acer saccharum Marshall","Sugar Maple",41.818407,-88.049113,"Y-106","80-65"
2,"474-74*2","Acer saccharum Marshall","Sugar Maple",41.818573,-88.049616,"Z-105","45-30"
2,"50-72*1","Acer saccharum Marshall","Sugar Maple",41.81839,-88.049259,"Y-106","75-25"
2,"8-U*26","Acer saccharum Marshall","Sugar Maple",41.818374,-88.050539,"Y-102","81-76"
3,"257-81*1","Acer campestre L.","Hedge Maple",41.817296,-88.050817,"U-101","91-87"
3,"257-81*3","Acer campestre L.","Hedge Maple",41.817386,-88.050748,"V-102","23-07"
3,"262-2017*1","Acer grandidentatum 'JFS-NuMex 3'","Big-toothed Maple",41.816973,-88.051076,"T-101","76-13"
3,"276-74*1","Acer grandidentatum Nutt. ex Torr. & Gray","Big-toothed Maple",41.817116,-88.050765,"U-101","25-99"
3,"276-74*2","Acer grandidentatum Nutt. ex Torr. & Gray","Big-toothed Maple",41.817216,-88.050729,"U-102","61-10"
3,"16-2007*5","Acer macrophyllum Pursh","Big-leaved Maple",41.816987,-88.050976,"T-101","80-40"
3,"16-2007*6","Acer macrophyllum Pursh","Big-leaved Maple",41.817064,-88.050994,"U-101","08-36"
3,"424-2006*3","Acer negundo 'Crispum Variegatum'","Curly Variegated Boxelder",41.817191,-88.050094,"U-103","46-83"
3,"430-2006*1","Acer saccharinum 'Laciniatum'","Cut-leaved Silver Maple",41.817118,-88.050468,"U-102","23-80"
3,"430-2006*3","Acer saccharinum 'Laciniatum'","Cut-leaved Silver Maple",41.817191,-88.050398,"U-103","49-00"
3,"301-63*2","Acer saccharum subsp. nigrum (F.Michx.) Desmarais","Black Maple",41.817236,-88.050257,"U-103","64-39"
3,"301-63*3","Acer saccharum subsp. nigrum (F.Michx.) Desmarais","Black Maple",41.817313,-88.050136,"U-103","91-73"
3,"905-2005*12","Acer yui W.P.Fang","Yu Maple",41.81685,-88.050768,"T-101","28-95"
4,"320-2007*1","Acer barbatum Michx.","Florida Maple",41.816263,-88.050628,"R-102","13-26"
4,"420-2006*1","Acer barbatum Michx.","Florida Maple",41.816191,-88.050654,"Q-102","87-18"
4,"321-2000*1","Acer mandshuricum Maxim.","Manchurian Maple",41.816234,-88.050818,"R-101","04-74"
4,"321-2000*2","Acer mandshuricum Maxim.","Manchurian Maple",41.816245,-88.050925,"R-101","09-45"
4,"320-2011*2","Acer maximowiczii Pax","Maximowicz's Snakebark Maple",41.816046,-88.051117,"Q-100","38-90"
4,"528-63*4","Acer nigrum F.Michx.","Black Maple",41.816512,-88.05079,"S-101","05-85"
4,"934-26*1","Acer palmatum var. heptalobum Rehder","Seven-lobed Japanese Maple",41.815927,-88.051134,"P-100","95-84"
4,"934-26*2","Acer palmatum var. heptalobum Rehder","Seven-lobed Japanese Maple",41.815999,-88.050969,"Q-101","20-30"
