Obs.List,PlantNumber,Taxon,Vernacular,GardenGrid,GardenSubGrid,BgLatitude,BgLongitude
1,138-U*36,Quercus macrocarpa,Bur Oak,V-07,Apr-46,41.816323,-88.09055
1,138-U*49,Quercus macrocarpa,Bur Oak,P-04,Nov-68,41.814727,-88.089297
1,138-U*48,Quercus macrocarpa,Bur Oak,S-08,96-40,41.815743,-88.090913
1,138-U*47,Quercus macrocarpa,Bur Oak,S-09,60-92,41.815639,-88.091085
1,138-U*56,Quercus macrocarpa,Bur Oak,Q-5,98-33,41.81532,-88.086149
1,138-U*37,Quercus macrocarpa,Bur Oak,G-04,81-15,41.812446,-88.089388
1,138-U*45,Quercus macrocarpa,Bur Oak,I-04,23-23,41.812836,-88.089377
1,138-U*44,Quercus macrocarpa,Bur Oak,I-04,Nov-56,41.812806,-88.089254
1,138-U*41,Quercus macrocarpa,Bur Oak,H-04,15-52,41.812543,-88.089257
1,138-U*43,Quercus macrocarpa,Bur Oak,H-04,63-61,41.812675,-88.08923
1,138-U*42,Quercus macrocarpa,Bur Oak,H-04,26-32,41.812571,-88.089332
1,138-U*50,Quercus macrocarpa,Bur Oak,G-011,47-89,41.812294,-88.091678
1,138-U*40,Quercus macrocarpa,Bur Oak,G-04,96-57,41.812491,-88.089236
2,138-U*26,Quercus macrocarpa,Bur Oak,R-9,70-82,41.81556,-88.084513
2,138-U*28,Quercus macrocarpa,Bur Oak,S-9,95-02,41.815895,-88.084822
2,138-U*24,Quercus macrocarpa,Bur Oak,U-15,80-21,41.816461,-88.082576
2,138-U*29,Quercus macrocarpa,Bur Oak,V-13,13-60,41.816536,-88.08317
2,138-U*27,Quercus macrocarpa,Bur Oak,T-9,15-02,41.81595,-88.084824
2,138-U*25,Quercus macrocarpa,Bur Oak,U-15,73-39,41.816443,-88.082509
2,138-U*13,Quercus macrocarpa,Bur Oak,S-24,83-67,41.816009,-88.079085
2,138-U*32,Quercus macrocarpa,Bur Oak,JJ-19,38-85,41.820502,-88.081056
2,138-U*58,Quercus macrocarpa,Bur Oak,EE-16,69-52,41.819184,-88.082219
2,138-U*33,Quercus macrocarpa,Bur Oak,JJ-19,37-43,41.820496,-88.081209
2,138-U*31,Quercus macrocarpa,Bur Oak,JJ-19,47-26,41.820521,-88.081273
2,138-U*9,Quercus macrocarpa,Bur Oak,W-25,26-Feb,41.816889,-88.078908
2,138-U*35,Quercus macrocarpa,Bur Oak,W-25,43-26,41.817001,-88.078913
2,138-U*34,Quercus macrocarpa,Bur Oak,W-25,40-69,41.816997,-88.078755
