"Obs.List","PlantNumber","Taxon","Vernacular","BgLatitude","BgLongitude","GardenGrid","GardenSubGrid"
1,"212-2004*1","Ulmus 'Morton Glossy'","Elm",41.817072,-88.069549,"V-50","82-79"
1,"116-96*1","Ulmus alata","Winged Elm",41.817172,-88.069598,"W-50","19-67"
1,"214-2012*1","Ulmus americana 'Valley Forge'","Valley Forge American Elm",41.817278,-88.069547,"W-50","57-82"
1,"266-2017*1","Ulmus davidiana 'JFS KW2UD'","Father David's Elm",41.817352,-88.069726,"W-50","85-34"
1,"495-2004*4","Ulmus davidiana var. japonica 'Morton'","Japanese Elm",41.817095,-88.069943,"V-49","94-72"
1,"495-2004*5","Ulmus davidiana var. japonica 'Morton'","Japanese Elm",41.817279,-88.070068,"W-49","62-40"
1,"495-2004*6","Ulmus davidiana var. japonica 'Morton'","Japanese Elm",41.817413,-88.07017,"X-49","12-14"
1,"49-95*5","Ulmus gaussenii","Anhui Elm",41.817118,-88.069779,"W-50","01-17"
1,"591-54*1","Ulmus glabra","Scots Elm",41.817393,-88.069688,"X-50","00-45"
1,"593-30*2","Ulmus hollandica 'Vegeta'","Vegeta Netherland Elm",41.81745,-88.069482,"X-51","19-02"
1,"27-98*1","Ulmus laevis","Russian Elm",41.817066,-88.069696,"V-50","81-39"
1,"446-2007*1","Ulmus macrocarpa var. macrocarpa","Big-fruited Elm",41.817302,-88.069886,"W-49","69-90"
1,"446-2007*2","Ulmus macrocarpa var. macrocarpa","Big-fruited Elm",41.817249,-88.069715,"W-50","48-36"
1,"117-96*2","Ulmus minor","European Field Elm",41.817195,-88.069452,"W-51","26-07"
1,"117-96*3","Ulmus minor","European Field Elm",41.817272,-88.069444,"W-51","54-10"
1,"591-22*1","Ulmus minor 'Sarniensis'","Jersey Elm",41.817498,-88.069858,"X-50","40-00"
1,"48-86*1","Ulmus parvifolia","Lacebark Elm",41.817531,-88.069746,"X-50","51-31"
1,"634-2006*1","Ulmus parvifolia 'Hallelujah'","Hallelujah Lacebark Elm",41.817447,-88.070028,"X-49","23-53"
1,"106-2011*1","Ulmus thomasii","Rock Elm",41.817021,-88.069625,"V-50","63-59"
2,"116-96*2","Ulmus alata","Winged Elm",41.817428,-88.069139,"X-51","08-95"
