Taxon,Vernacular,Trademark,BgLocation,Accession,PlantNumber,CountryName,DonorInstitute,ProvenanceType,PrincipalCollector,LocationSummary,GardenGrid,GardenSubGrid,BgLatitude,BgLongitude,CommemorationWho,CommemorationText
Acer carpinifolium Siebold & Zucc.,Hornbeam Maple,,Acer,348-2005,348-2005*2,Japan,The Morton Arboretum,z,?,"Japan, Tochigi, on Mt. Izura near Isura-kam-non-San Shrine",T-100,54-83,41.8169110000,-88.0511820000,,
Acer sterculiaceum subsp. franchetii (Pax) A.E.Murray,Franchet's Maple,,Acer,226-2007,226-2007*1,China (PRC),The Morton Arboretum Research Program,z,,"China (PRC), Gansu, Tian Shui City, along Leng Shui He 9 (Cool Water River) in Xiao Long Shan Forest Bureau",W-100,09-40,41.8176060000,-88.0513710000,,
Narcissus 'Pipit',Pipit Narcissus,,Acer,537-2001,537-2001*1,,various commercial sources,g,,,Y-102,51-60,41.8182900000,-88.0505940000,,
Acer cappadocicum Gled.,Coliseum Maple,,Acer,456-2009,456-2009*1,Georgia,New York Botanical Garden,z,,"Georgia, Adjara, Khule, along Georgia Hwy A306, ca. 62 km east of Batumi city center, ca. 18 km north of the Turkish border",P-101,54-73,41.8158220000,-88.0508030000,,
Acer zoeschense 'Annae',Anna Zoeschen Maple,,Acer,519-65,519-65*1,,United States National Arboretum,g,,,V-104,46-21,41.8174690000,-88.0499670000,,
Acer 'Morton UW',Maple,MORNING STARBURST,Acer,9-2017,9-2017*2,,The Morton Arboretum,g,,,O-97,26-21,41.8154300000,-88.0524440000,,
Acer palmatum var. heptalobum Rehder,Seven-lobed Japanese Maple,,Acer,2389-26,2389-26*1,,T. Sakata Nursery,g,,,Q-101,42-38,41.8160600000,-88.0509420000,,
Acer saccharum f. rugelii (Pax) Palmer & Steyerm.,Rugel's Sugar Maple,,Acer,239-67,239-67*1,,The Morton Arboretum,g,,,R-101,72-73,41.8164200000,-88.0508300000,,
Acer maximowiczii Pax,Maximowicz's Snakebark Maple,,Acer,880-2005,880-2005*8,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,w,,"China (PRC), Gansu, Zhou Qu Shen, in Bai Long Jiang Forest Station / Ge'er Gou",S-98,15-59,41.8165090000,-88.0519860000,,
Tilia americana var. americana,American Basswood,,Acer,333-72,333-72*6,,Kankakee Nursery Company,g,,,Z-106,60-05,41.8186210000,-88.0493430000,"Krick, Chris",
Acer mono Maxim.,Painted Maple,,Acer,629-39,629-39*1,,Garden of Manchurian Flora,g,,,P-101,61-30,41.8158380000,-88.0509620000,,
Acer freemanii 'Jenner',Jenner Freeman's Maple,,Acer,349-2005,349-2005*3,,The Morton Arboretum Research Program,g,,,T-102,56-18,41.8169290000,-88.0506870000,,
Acer pseudosieboldianum (Pax) Kom.,Korean Maple,,Acer,303-97,303-97*3,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 1997 Jilin China,w,,"China (PRC), Jilin, Changbai",S-99,40-27,41.8165840000,-88.0517400000,,
Acer heldreichii Orph. ex Boiss.,Balkan Maple,,Acer,457-2009,457-2009*2,,New York Botanical Garden,g,,,Q-102,62-27,41.8161230000,-88.0506180000,,
Acer oblongum Wall. ex DC.,Himalayan Maple,,Acer,331-2011,331-2011*3,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,G,,"China (PRC), Gansu, cultivated plants",V-101,69-72,41.8175070000,-88.0508830000,,
Acer tschonoskii Maxim.,Sugawa Maple,,Acer,329-2000,329-2000*3,China (PRC),The Morton Arboretum Research Program,w,,"China (PRC), Jilin, Changbai",Q-100,86-96,41.8161770000,-88.0511010000,,
Acer ukurunduense Trautv. & C.A.Mey.,Ukurundu Maple,,Acer,262-2004,262-2004*9,Russia,Botanical Garden-Institute of the Far Eastern Branch Russian Academy of Sci,w,?,"Russia, Rossiya (Russia), Primor'ye, at Snezhnaya Mountain",R-98,93-69,41.8164500000,-88.0519460000,,
