Taxon,Vernacular,BgLocation,Accession,PlantNumber,CountryName,DonorInstitute,ProvenanceType,PrincipalCollector,LocationSummary,GardenGrid,GardenSubGrid,BgLatitude,BgLongitude,CommemorationWho,CommemorationText
Quercus muehlenbergii,Chinkapin Oak,Quercus,704-46,704-46*4,United States of America,The Morton Arboretum-Staff,w,"Nordine, R.M.","United States of America, Indiana, site not noted",M-103,44-96,41.8149930000,-88.0499480000,,
Quercus dentata 'Carl Ferris Miller',Carl Ferris Miller Daimyo Oak,Quercus,72-2012,72-2012*1,,"Brotzman's Nursery, Inc.",g,,,I-98,07-47,41.8137440000,-88.0519070000,,
Quercus montana,Chestnut Oak,Quercus,256-42,256-42*1,,Donaldson Nurseries,g,,,M-102,91-90,41.8151120000,-88.0503420000,,
Quercus rubra,Northern Red Oak,Quercus,354-37,354-37*1,,,g,,,I-103,38-92,41.8138790000,-88.0499130000,,
Quercus bebbiana,Bebb's Oak,Quercus,749-34,749-34*1,,,g,,,J-103,23-45,41.8141080000,-88.0500960000,"Wier, Mark Lawrence",
Quercus michauxii,Swamp Chestnut Oak,Quercus,539-96,539-96*3,United States of America,The Morton Arboretum-Staff,w,"Linden, P.J. van der","United States of America, Missouri, Mississippi, in picnic ground at Big Oak Tree State Park",L-97,64-79,41.8147160000,-88.0522000000,,
Quercus warei,Ware's Oak,Quercus,707-2006,707-2006*1,,International Oak Society Seed Exchange,g,,,J-97,40-68,41.8141010000,-88.0522120000,,
Quercus lyrata,Overcup Oak,Quercus,517-2000,517-2000*2,United States of America,International Oak Society Seed Exchange,w,"Lance, R.","United States of America, Georgia, Decatur, on bank of Lake Seminole near J. Woodruff dam",G-104,82-57,41.8134570000,-88.0496560000,,
Quercus deamii,Deam's Oak,Quercus,3-2008,3-2008*1,United States of America,The Morton Arboretum,z,"Deam, C.C.","United States of America, Indiana, Wells, near Bluffton",J-95,65-22,41.8141470000,-88.0531170000,,
Quercus gambelii _ macrocarpa,Macrobel Oak,Quercus,451-2009,451-2009*1,,Red Butte Garden and Arboretum University of Utah,g,,,G-98,60-34,41.8133380000,-88.0519370000,,
Quercus coccinea,Scarlet Oak,Quercus,1173-2004,1173-2004*5,United States of America,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,w,,"United States of America, Missouri, Ste. Genevieve, west edge of Hawn State Park",G-99,92-96,41.8134420000,-88.0513470000,,
Quercus mongolica,Mongolian Oak,Quercus,852-2005,852-2005*6,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,w,,"China (PRC), Gansu, Kangle, at Xian Jia Wan",K-95,41-20,41.8143550000,-88.0531340000,,
Quercus marilandica,Blackjack Oak,Quercus,362-96,362-96*7,United States of America,The Morton Arboretum,w,"Sternberg, G.","United States of America, Missouri, Phelps",M-102,11-70,41.8148910000,-88.0504060000,,
Quercus montana,Chestnut Oak,Quercus,465-37,465-37*1,,H. Kohankie & Son,g,,,G-102,95-28,41.8134720000,-88.0504970000,,
Quercus mongolica,Mongolian Oak,Quercus,403-97,403-97*2,Russia,Midwest Plant Collecting Collaborative (MWPCC) 1997 Russia Far East Expedit,w,,"Russia, Rossiya (Russia), Primor'ye",L-103,24-04,41.8146550000,-88.0502710000,,
Quercus montana,Chestnut Oak,Quercus,602-2000,602-2000*2,United States of America,Midwest Plant Collecting Collaborative (MWPCC) 2000 southeast United States,w,,"United States of America, Virginia, Craig, at picnic area across from entrance to county road 1772 leading to Potts Mountain, Jefferson National Forest",H-103,15-80,41.8135410000,-88.0499420000,Robert 'Bert' Johnson,
Quercus palustris,Pin Oak,Quercus,573-40,573-40*8,United States of America,University of Kentucky,w,?,"United States of America, Kentucky, Fayette",M-91,69-41,41.8149450000,-88.0545500000,,
Quercus macdanielii 'Clemons',Macdaniel's Oak,Quercus,35-2007,35-2007*1,,"Bailey Nurseries, Inc.",g,,,L-93,28-10,41.8145740000,-88.0539140000,,
Quercus robur 'Skymaster',Skymaster English Oak,Quercus,209-2012,209-2012*2,,J. Frank Schmidt & Son Co.,g,,,L-96,52-86,41.8146740000,-88.0525390000,,
Quercus pyrenaica,Pyrenean Oak,Quercus,200-99,200-99*1,,"Späth-Arboretum der Humboldt-Universität zu Berlin Institut für Biologie, A",g,,,H-100,44-92,41.8135940000,-88.0510010000,,
Quercus robur subsp. pedunculiflora,Peduncled English Oak,Quercus,21-2012,21-2012*3,Azerbaijan,"US Department of Agriculture, Agriculture Research Station, Beltsville, MD",z,?,"Azerbaijan, Khachmaz, at Khudat",J-104,64-63,41.8142310000,-88.0496680000,,
Quercus prinoides,Dwarf Chinkapin Oak,Quercus,742-51,742-51*1,United States of America,Field Museum of Natural History,w,"Steyermark, J.","United States of America, Missouri, northwestern section",K-99,63-33,41.8144540000,-88.0516230000,,
Quercus palustris,Pin Oak,Quercus,1186-2004,1186-2004*1,United States of America,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,w,,"United States of America, Missouri, Franklin, in Shaw Nature Reserve",L-93,07-92,41.8145240000,-88.0536110000,,
Quercus palustris,Pin Oak,Quercus,1164-22,1164-22*5,,D. Hill Nursery Co.,g,,,D-104,90-25,41.8126540000,-88.0497380000,,
Quercus marilandica,Blackjack Oak,Quercus,305-94,305-94*4,United States of America,International Oak Society Seed Exchange,w,"Green, T.","United States of America, Illinois, Henderson, near Oquaka",K-102,57-78,41.8144690000,-88.0503580000,,
Quercus montana,Chestnut Oak,Quercus,602-2000,602-2000*3,United States of America,Midwest Plant Collecting Collaborative (MWPCC) 2000 southeast United States,w,,"United States of America, Virginia, Craig, at picnic area across from entrance to county road 1772 leading to Potts Mountain, Jefferson National Forest",H-104,37-05,41.8136030000,-88.0498530000,,
Quercus aliena,Oriental White Oak,Quercus,392-2011,392-2011*1,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,China (PRC),J-97,75-27,41.8141920000,-88.0523660000,,
Quercus robur,English Oak,Quercus,255-99,255-99*1,,"USDA-ARS, North Central Regional Plant Introduction Station Iowa State Univ",g,,,J-105,69-28,41.8142510000,-88.0494310000,,
Quercus runcinata,Bottom Oak,Quercus,502-36,502-36*1,,Arnold Arboretum of Harvard University,g,,,M-98,14-91,41.8148640000,-88.0517950000,,
Quercus dentata 'Carl Ferris Miller',Carl Ferris Miller Daimyo Oak,Quercus,72-2012,72-2012*2,,"Brotzman's Nursery, Inc.",g,,,I-98,17-84,41.8137750000,-88.0517720000,,
Quercus dentata,Daimyo Oak,Quercus,4-2008,4-2008*5,China (PRC),The Morton Arboretum,z,"Bretschneider, E.V.","China (PRC), near Peking",H-99,94-45,41.8137170000,-88.0515460000,,
Quercus petraea subsp. iberica,Georgian Oak,Quercus,258-2004,258-2004*1,Czech Republic,Arboretum Novy Dvur Slezske semske muzeum Opava Arboretum Novy Dvur of Sile,w,?,"Czech Republic, North Moravia, Prerov, in Jesenicke podhuri Mts. at Lhotka village, near Hranice na Morave",K-96,50-23,41.8143890000,-88.0527570000,,
Quercus prinoides,Dwarf Chinkapin Oak,Quercus,742-51,742-51*4,United States of America,Field Museum of Natural History,w,"Steyermark, J.","United States of America, Missouri, northwestern section",K-99,75-44,41.8144880000,-88.0515840000,,
Quercus macrocarpa,Bur Oak,Quercus,138-U,138-U*1,,columbia,u,,,N-96,10-00,41.8151000000,-88.0528730000,,
Quercus jackiana,Jack's Oak,Quercus,471-42,471-42*2,,The Morton Arboretum,g,,,L-101,81-52,41.8147980000,-88.0508350000,,
Quercus palustris,Pin Oak,Quercus,573-40,573-40*7,United States of America,University of Kentucky,w,?,"United States of America, Kentucky, Fayette",M-91,40-88,41.8148700000,-88.0543750000,,
Quercus petraea subsp. iberica,Georgian Oak,Quercus,20-2012,20-2012*2,Azerbaijan,"US Department of Agriculture, Agriculture Research Station, Beltsville, MD",z,?,"Azerbaijan, Shamakhi, near Shamakhi/Shemakha (Samaxi)",H-100,95-29,41.8137280000,-88.0512380000,,
Quercus bebbiana,Bebb's Oak,Quercus,706-72,706-72*2,,The Morton Arboretum,g,,,N-103,45-93,41.8152700000,-88.0499710000,,
Quercus robur,English Oak,Quercus,180-93,180-93*9,Russia,"1993 Expedition to Russia (Gorno-Altai) Chicago BG, Holden Arb, Minn. Lands",w,"Linden, P.J. van der","Russia, in the Main Botanical Garden of the Russian Academy of Sciences in Moscow",N-99,48-09,41.8152330000,-88.0517460000,,
Quercus marilandica,Blackjack Oak,Quercus,362-96,362-96*2,United States of America,The Morton Arboretum,w,"Sternberg, G.","United States of America, Missouri, Phelps",J-102,70-27,41.8142260000,-88.0505340000,,
Quercus shumardii var. schneckii,Schneck's Oak,Quercus,10-2008,10-2008*2,United States of America,The Morton Arboretum,z,?,"United States of America, Kentucky, Union",J-93,62-05,41.8141190000,-88.0539120000,,
Quercus jackiana,Jack's Oak,Quercus,654-32,654-32*1,,Arnold Arboretum of Harvard University,g,,,L-100,24-98,41.8146360000,-88.0510260000,,
Quercus warei 'Nadler',Ware's Oak,Quercus,51-2009,51-2009*1,,"Robinson Nursery, Inc.",g,,,J-98,39-56,41.8141060000,-88.0518900000,,
Quercus deamii,Deam's Oak,Quercus,1258-26,1258-26*3,United States of America,Arnold Arboretum of Harvard University,z,"Deam, C.C.","United States of America, Indiana, Wells, near Bluffton",J-104,03-20,41.8140600000,-88.0498190000,,
Quercus coccinea,Scarlet Oak,Quercus,1173-2004,1173-2004*4,United States of America,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,w,,"United States of America, Missouri, Ste. Genevieve, west edge of Hawn State Park",G-99,76-59,41.8133950000,-88.0514800000,,
Quercus macrocarpa,Bur Oak,Quercus,2390-26,2390-26*1,,Arnold Arboretum of Harvard University,g,,,I-103,25-15,41.8138360000,-88.0501940000,,
Quercus baronii,Baroni's Oak,Quercus,903-2005,903-2005*4,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,w,,"China (PRC), Gansu, Diebu",K-95,74-48,41.8144480000,-88.0530350000,,
Quercus mongolica,Mongolian Oak,Quercus,333-94,333-94*7,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,w,,"China (PRC), Beijing Shi, Miyun, at Yong Xiu Gou (Valley with Beautiful Clouds), Wuling Shan Preserve",N-98,79-26,41.8153100000,-88.0520540000,,
Quercus 'K. B. Crystal',K. B. Crystal Oak,Quercus,2-2003,2-2003*1,,"Heritage Seedlings, Inc.",g,,,I-99,39-11,41.8138370000,-88.0516760000,,
Quercus palustris,Pin Oak,Quercus,1038-65,1038-65*1,,Hermann A. Hesse Baumschulen,g,,,E-104,95-50,41.8129440000,-88.0496590000,,
Quercus prinoides,Dwarf Chinkapin Oak,Quercus,326-99,326-99*2,United States of America,Nebraska Statewide Arboretum,w,?,"United States of America, Nebraska, Richardson, in the Rock Creek bluffs, 3 miles south of Salem",K-99,99-34,41.8145520000,-88.0516240000,,
Quercus lusitanica,Lusitanian Oak,Quercus,18-2011,18-2011*1,,,g,,,J-105,55-78,41.8142170000,-88.0492460000,,
Quercus cerris,Turkish Oak,Quercus,523-2000,523-2000*2,United States of America,International Oak Society Seed Exchange,g,"Hanlon, T.","United States of America, Pennsylvania, Allegheny, Schenley Park on the edge of the Carnegie Mellon University, Pittsburgh",G-101,74-18,41.8134040000,-88.0508970000,,
Quercus shumardii,Shumard's Oak,Quercus,1513-35,1513-35*4,,Missouri Botanical Garden,g,,,N-103,09-73,41.8151690000,-88.0500400000,,
Quercus petraea subsp. iberica,Georgian Oak,Quercus,258-2004,258-2004*2,Czech Republic,Arboretum Novy Dvur Slezske semske muzeum Opava Arboretum Novy Dvur of Sile,w,?,"Czech Republic, North Moravia, Prerov, in Jesenicke podhuri Mts. at Lhotka village, near Hranice na Morave",K-96,64-56,41.8144310000,-88.0526380000,,
Quercus macrocarpa,Bur Oak,Quercus,138-U,138-U*6,,columbia,u,,,M-102,86-21,41.8150920000,-88.0505950000,,
Quercus michauxii,Swamp Chestnut Oak,Quercus,539-96,539-96*5,United States of America,The Morton Arboretum-Staff,w,"Linden, P.J. van der","United States of America, Missouri, Mississippi, in picnic ground at Big Oak Tree State Park",L-97,89-72,41.8147840000,-88.0522280000,,
Quercus petraea subsp. iberica,Georgian Oak,Quercus,20-2012,20-2012*1,Azerbaijan,"US Department of Agriculture, Agriculture Research Station, Beltsville, MD",z,?,"Azerbaijan, Shamakhi, near Shamakhi/Shemakha (Samaxi)",H-100,59-07,41.8136270000,-88.0513140000,,
Quercus palustris,Pin Oak,Quercus,1164-22,1164-22*6,,D. Hill Nursery Co.,g,,,H-103,40-15,41.8136030000,-88.0501830000,,
Quercus aliena,Oriental White Oak,Quercus,392-2011,392-2011*3,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,China (PRC),K-97,80-66,41.8144840000,-88.0522370000,,
Quercus velutina,Black Oak,Quercus,185-92,185-92*5,United States of America,The Morton Arboretum-Staff,w,"Linden, P.J. van der","United States of America, Illinois, Will, along Merioneth Road",J-101,73-35,41.8142260000,-88.0508720000,,
Quercus dalechampii,Italian Oak,Quercus,286-97,286-97*1,Hungary,Starhill Forest Arboretum,w,?,"Hungary, in Zemplen Mountains, Edobeluge Nord 3 km.",K-101,50-25,41.8144360000,-88.0509180000,,
Quercus robur 'Argenteovariegata',Silver-variegated English Oak,Quercus,73-2012,73-2012*1,,"Brotzman's Nursery, Inc.",g,,,M-92,77-76,41.8149800000,-88.0540570000,,
Quercus lyrata,Overcup Oak,Quercus,179-95,179-95*1,United States of America,Botanic Garden of the Chicago Horticultural Society,w,"Gates, G.","United States of America, Illinois, Jackson, from Grand Tower",K-105,06-04,41.8143500000,-88.0495230000,,
Quercus 'K. B. Crystal',K. B. Crystal Oak,Quercus,2-2003,2-2003*3,,"Heritage Seedlings, Inc.",g,,,I-99,79-05,41.8139460000,-88.0517030000,,
Quercus montana,Chestnut Oak,Quercus,606-2000,606-2000*4,United States of America,Midwest Plant Collecting Collaborative (MWPCC) 2000 southeast United States,w,,"United States of America, Virginia, Franklin, on Cahas Mt.",G-100,35-18,41.8132880000,-88.0512590000,,
Quercus robur subsp. pedunculiflora,Peduncled English Oak,Quercus,21-2012,21-2012*4,Azerbaijan,"US Department of Agriculture, Agriculture Research Station, Beltsville, MD",z,?,"Azerbaijan, Khachmaz, at Khudat",J-104,81-84,41.8142800000,-88.0495930000,,
Quercus palustris,Pin Oak,Quercus,139-U,139-U*3,,columbia,u,,,H-106,29-31,41.8136020000,-88.0490240000,,
Quercus stellata,Post Oak,Quercus,210-91,210-91*2,United States of America,Morton Arb. 1991 Iowa-Nebraska Seed Expedition,w,,"United States of America, Iowa, Lee, in the Donnellson Unit of Shimek State Forest",N-98,15-28,41.8151350000,-88.0520380000,,
Quercus deamii,Deam's Oak,Quercus,616-30,616-30*8,,Arnold Arboretum of Harvard University,u,,,L-98,20-62,41.8146030000,-88.0518900000,,
Quercus gambelii,Gambel's Oak,Quercus,145-75,145-75*8,United States of America,The Morton Arboretum-Staff,w,?,"United States of America, Colorado, Teller",L-98,53-05,41.8146890000,-88.0521030000,,
Quercus velutina,Black Oak,Quercus,185-92,185-92*4,United States of America,The Morton Arboretum-Staff,w,"Linden, P.J. van der","United States of America, Illinois, Will, along Merioneth Road",J-101,39-80,41.8141360000,-88.0507020000,"Shaw, Maryann",
Quercus macrocarpa,Bur Oak,Quercus,752-34,752-34*4,,Central Experimental Farm Botanical Garden and Arboretum Ottawa Research St,g,,,J-105,05-95,41.8140820000,-88.0491770000,,
Quercus macrocarpa,Bur Oak,Quercus,1516-35,1516-35*1,,Central Experimental Farm Botanical Garden and Arboretum Ottawa Research St,g,,,I-103,40-50,41.8138810000,-88.0500670000,Fran Krischunas,
Quercus alba,White Oak,Quercus,239-42,239-42*2,,Ohio Agricultural Experiment Station,g,,,K-98,37-75,41.8143770000,-88.0518320000,,
Quercus palustris,Pin Oak,Quercus,13-35,13-35*1,,Otto Katzenstein & Co.,g,,,H-103,90-90,41.8137470000,-88.0499150000,,
Quercus rubra,Northern Red Oak,Quercus,466-37,466-37*1,,H. Kohankie & Son,g,,,I-102,20-69,41.8138180000,-88.0503620000,,
Quercus 'K. B. Crystal',K. B. Crystal Oak,Quercus,2-2003,2-2003*2,,"Heritage Seedlings, Inc.",g,,,I-99,52-51,41.8138770000,-88.0515310000,,
