PlantNumber,Taxon,Vernacular,BgLocation,GardenGrid,GardenSubGrid,BgLatitude,BgLongitude
1359-56*1,Tilia cordata,Little-leaved Linden,Tilia,W-56,80-35,41.8173930000,-88.0675230000
583-54*1,Tilia platyphyllos subsp. platyphyllos,Big-leaved Linden,Tilia,V-56,80-65,41.8171210000,-88.0674010000
1435-24*1,Tilia americana 'Dentata',Large-toothed American Basswood,Tilia,Z-52,90-40,41.8182060000,-88.0690090000
380-68*1,Tilia mongolica,Mongolian Linden,Tilia,V-54,40-85,41.8169950000,-88.0680560000
740-50*2,Tilia europaea 'Pallida',Pale European Linden,Tilia,W-57,55-50,41.8173350000,-88.0670990000
567-32*3,Tilia americana var. americana,American Basswood,Tilia,Y-56,90-10,41.8179660000,-88.0676410000
333-86*1,Tilia oliveri,Oliver's Linden,Tilia,AA-54,26-29,41.8183220000,-88.0683210000
581-54*1,Tilia americana var. caroliniana,Carolina Basswood,Tilia,X-56,75-70,41.8176560000,-88.0674070000
151-81*3,Tilia dasystyla subsp. caucasica,Caucasus Linden,Tilia,Z-53,39-94,41.8180800000,-88.0684380000
344-66*3,Tilia platyphyllos subsp. corinthiaca,Greek Big-leaved Linden,Tilia,Z-51,50-70,41.8180900000,-88.0692610000
159-45*2,Tilia cordata,Little-leaved Linden,Tilia,X-56,15-35,41.8174890000,-88.0675280000
267-64*2,Tilia cordata 'Greenspire',Greenspire lttle-leaved linden,Tilia,Z-51,35-35,41.8180450000,-88.0693870000
579-54*2,Tilia americana 'Dentata',Large-toothed American Basswood,Tilia,Z-53,90-35,41.8182150000,-88.0686610000
152-81*3,Tilia cordata,Little-leaved Linden,Tilia,AA-53,16-97,41.8182920000,-88.0684370000
798-56*3,Tilia platyphyllos 'Laciniata',Cut-leaved Big-leaved Linden,Tilia,V-56,45-30,41.8170220000,-88.0675250000
225-79*6,Tilia americana,American Basswood,Tilia,Z-54,83-64,41.8182080000,-88.0681870000
850-55*2,Tilia americana var. americana,American Basswood,Tilia,Y-56,45-45,41.8178460000,-88.0675070000
