PlantNumber,Taxon,Vernacular,BgLocation,GardenGrid,GardenSubGrid,BgLatitude,BgLongitude
266-2017*1,Ulmus davidiana 'JFS KW2UD',Father David's Elm,Ulmaceae,W-50,85-34,41.8173520000,-88.0697260000
182-2017*5,Ulmus davidiana var. japonica 'Morton',Japanese Elm,Ulmaceae,V-52,86-02,41.8170940000,-88.0691000000
46-95*2,Ulmus castaneifolia,Chestnut-leaved Elm,Ulmaceae,Y-52,00-70,41.8176880000,-88.0688760000
585-2006*3,Ulmus harbinensis,Harbin Elm,Ulmaceae,Y-52,71-11,41.8178770000,-88.0691010000
48-86*1,Ulmus parvifolia,Lacebark Elm,Ulmaceae,X-50,51-31,41.8175310000,-88.0697460000
213-2012*1,Ulmus davidiana var. japonica 'Prospector',Prospector Japanese Elm,Ulmaceae,Z-53,12-82,41.8180050000,-88.0684790000
206-2008*3,Ulmus hollandica 'Pioneer',Pioneer Netherland Elm,Ulmaceae,Z-52,46-66,41.8180880000,-88.0689080000
22-2008*3,Ulmus davidiana var. japonica 'Validation',Validation Japanese Elm,Ulmaceae,U-53,04-48,41.8166090000,-88.0685410000
591-54*1,Ulmus glabra,Scots Elm,Ulmaceae,X-50,00-45,41.8173930000,-88.0696880000
495-2004*6,Ulmus davidiana var. japonica 'Morton',Japanese Elm,Ulmaceae,X-49,12-14,41.8174130000,-88.0701700000
44-95*2,Ulmus bergmanniana,Bergmann's Elm,Ulmaceae,X-52,80-93,41.8176350000,-88.0687890000
1053-28*1,Ulmus americana,American Elm,Ulmaceae,W-52,55-75,41.8172910000,-88.0688400000
44-95*3,Ulmus bergmanniana,Bergmann's Elm,Ulmaceae,W-51,46-91,41.8172580000,-88.0691460000
400-2013*2,Ulmus pumila × rubra,Siberian-slippery Elm Hybrid,Ulmaceae,Z-54,29-68,41.8180600000,-88.0681670000
362-2006*1,Ulmus microcarpa,Small-fruited Elm,Ulmaceae,U-50,64-48,41.8167460000,-88.0696480000
198-2013*1,Ulmus thomasii,Rock Elm,Ulmaceae,U-54,80-991,41.8168310000,-88.0679980000
196-2011*1,Ulmus elongata,Long-seeded Elm,Ulmaceae,X-52,85-41,41.8176440000,-88.0689800000
756-60*1,Ulmus procera,English Elm,Ulmaceae,U-51,65-15,41.8167550000,-88.0694030000
398-2013*3,Ulmus davidiana var. japonica × minor,Japanese-European Field Hybrid Elm,Ulmaceae,X-55,59-48,41.8176010000,-88.0678520000
53-95*2,Ulmus szechuanica,Sichuan Elm,Ulmaceae,W-52,64-19,41.8173100000,-88.0690460000
317-90*1,Ulmus lamellosa,Hebei Elm,Ulmaceae,V-52,60-74,41.8170300000,-88.0688320000
201-2013*1,Ulmus thomasii,Rock Elm,Ulmaceae,V-55,33-42,41.8169800000,-88.0678440000
398-2013*2,Ulmus davidiana var. japonica × minor,Japanese-European Field Hybrid Elm,Ulmaceae,X-55,54-81,41.8175900000,-88.0677320000
128-2008*1,Ulmus chenmoui,Chenmou Elm,Ulmaceae,Z-51,22-79,41.8180140000,-88.0692240000
181-84*2,Ulmus davidiana var. japonica,Japanese Elm,Ulmaceae,U-52,27-26,41.8166610000,-88.0689910000
883-55*2,Ulmus pumila 'Dropmore',Dropmore Siberian Elm,Ulmaceae,W-53,55-95,41.8173020000,-88.0684000000
568-2015*2,Ulmus hollandica 'Major',Major Netherland Elm,Ulmaceae,W-57,74-10,41.8173830000,-88.0672490000
338-46*1,Ulmus hollandica 'Major',Major Netherland Elm,Ulmaceae,Y-50,99-94,41.8179430000,-88.0695330000
446-2007*2,Ulmus macrocarpa var. macrocarpa,Big-fruited Elm,Ulmaceae,W-50,48-36,41.8172490000,-88.0697150000
173-2004*3,Ulmus parvifolia 'Garden City',Garden City Lacebark Elm,Ulmaceae,U-53,54-13,41.8167430000,-88.0686760000
179-84*5,Ulmus macrocarpa,Large-fruited Elm,Ulmaceae,Y-51,24-27,41.8177400000,-88.0694030000
12-2013*4,Ulmus pseudopropinqua,False Corkbark Elm,Ulmaceae,V-53,95-09,41.8171280000,-88.0687070000
495-2004*4,Ulmus davidiana var. japonica 'Morton',Japanese Elm,Ulmaceae,V-49,94-72,41.8170950000,-88.0699430000
287-47*2,Ulmus pumila × rubra,Siberian-slippery Elm Hybrid,Ulmaceae,Y-52,65-80,41.8178670000,-88.0688470000
52-95*4,Ulmus mesocarpa,Japanese-bigfruit Hybrid Elm,Ulmaceae,V-51,88-53,41.8170950000,-88.0692790000
11-2013*2,Ulmus davidiana var. japonica,Japanese Elm,Ulmaceae,W-55,86-71,41.8174040000,-88.0677570000
4-2004*1,Ulmus 'Morton Plainsman',Elm,Ulmaceae,Z-53,86-05,41.8182010000,-88.0687700000
476-2006*5,Ulmus parvifolia,Lacebark Elm,Ulmaceae,Y-55,95-04,41.8179700000,-88.0680300000
49-95*5,Ulmus gaussenii,Anhui Elm,Ulmaceae,W-50,01-17,41.8171180000,-88.0697790000
272-2007*2,Ulmus serotina,September Elm,Ulmaceae,Z-54,63-03,41.8181470000,-88.0684080000
678-70*1,Ulmus americana f. pendula,Weeping American Elm,Ulmaceae,V-53,48-66,41.8170060000,-88.0684930000
19-2008*6,Ulmus prunifolia,Plum-leaved Elm,Ulmaceae,Y-56,53-16,41.8178650000,-88.0676140000
634-2006*1,Ulmus parvifolia 'Hallelujah',Hallelujah Lacebark Elm,Ulmaceae,X-49,23-53,41.8174470000,-88.0700280000
568-2015*3,Ulmus hollandica 'Major',Major Netherland Elm,Ulmaceae,X-57,04-48,41.8174680000,-88.0671130000
22-2008*1,Ulmus davidiana var. japonica 'Validation',Validation Japanese Elm,Ulmaceae,U-51,45-31,41.8167010000,-88.0693420000
22-2008*2,Ulmus davidiana var. japonica 'Validation',Validation Japanese Elm,Ulmaceae,U-51,88-44,41.8168200000,-88.0692990000
206-2008*2,Ulmus hollandica 'Pioneer',Pioneer Netherland Elm,Ulmaceae,Z-52,27-38,41.8180330000,-88.0690090000
286-95*2,Ulmus macrocarpa,Large-fruited Elm,Ulmaceae,W-52,28-29,41.8172120000,-88.0690050000
50-95*4,Ulmus laciniata,Manchurian Elm,Ulmaceae,X-52,57-35,41.8175670000,-88.0689990000
50-95*1,Ulmus laciniata,Manchurian Elm,Ulmaceae,X-52,71-09,41.8176020000,-88.0690960000
