Obs.List,PlantNumber,Taxon,Vernacular,BgLocation,GardenSubarea,GardenGrid,GardenSubGrid,BgLatitude,BgLongitude
1,138-U*36,Quercus macrocarpa,Bur Oak,Prairie Visitor Station,,V-07,04-46,41.8163230000,-88.0905500000
1,138-U*49,Quercus macrocarpa,Bur Oak,Prairie Visitor Station,,P-04,11-68,41.8147270000,-88.0892970000
1,138-U*48,Quercus macrocarpa,Bur Oak,Prairie Visitor Station,,S-08,96-40,41.8157430000,-88.0909130000
1,138-U*47,Quercus macrocarpa,Bur Oak,Prairie Visitor Station,,S-09,60-92,41.8156390000,-88.0910850000
1,138-U*56,Quercus macrocarpa,Bur Oak,Pine Hill,south side,Q-5,98-33,41.8153200000,-88.0861490000
1,138-U*37,Quercus macrocarpa,Bur Oak,Schulenberg Prairie,upper prairie,G-04,81-15,41.8124460000,-88.0893880000
1,138-U*45,Quercus macrocarpa,Bur Oak,Schulenberg Prairie,upper prairie,I-04,23-23,41.8128360000,-88.0893770000
1,138-U*44,Quercus macrocarpa,Bur Oak,Schulenberg Prairie,upper prairie,I-04,11-56,41.8128060000,-88.0892540000
1,138-U*41,Quercus macrocarpa,Bur Oak,Schulenberg Prairie,upper prairie,H-04,15-52,41.8125430000,-88.0892570000
1,138-U*43,Quercus macrocarpa,Bur Oak,Schulenberg Prairie,upper prairie,H-04,63-61,41.8126750000,-88.0892300000
1,138-U*42,Quercus macrocarpa,Bur Oak,Schulenberg Prairie,upper prairie,H-04,26-32,41.8125710000,-88.0893320000
1,138-U*50,Quercus macrocarpa,Bur Oak,Schulenberg Prairie,upper prairie,G-011,47-89,41.8122940000,-88.0916780000
1,138-U*40,Quercus macrocarpa,Bur Oak,Schulenberg Prairie,upper prairie,G-04,96-57,41.8124910000,-88.0892360000
2,138-U*26,Quercus macrocarpa,Bur Oak,Lake Marmo,west side,R-9,70-82,41.8155600000,-88.0845130000
2,138-U*28,Quercus macrocarpa,Bur Oak,Lake Marmo,west side,S-9,95-02,41.8158950000,-88.0848220000
2,138-U*24,Quercus macrocarpa,Bur Oak,Lake Marmo,north side,U-15,80-21,41.8164610000,-88.0825760000
2,138-U*29,Quercus macrocarpa,Bur Oak,Lake Marmo,north side,V-13,13-60,41.8165360000,-88.0831700000
2,138-U*27,Quercus macrocarpa,Bur Oak,Lake Marmo,west side,T-9,15-02,41.8159500000,-88.0848240000
2,138-U*25,Quercus macrocarpa,Bur Oak,Lake Marmo,north side,U-15,73-39,41.8164430000,-88.0825090000
2,138-U*13,Quercus macrocarpa,Bur Oak,Cornaceae,,S-24,83-67,41.8160090000,-88.0790850000
2,138-U*32,Quercus macrocarpa,Bur Oak,Daffodil Glade,,JJ-19,38-85,41.8205020000,-88.0810560000
2,138-U*58,Quercus macrocarpa,Bur Oak,Daffodil Glade,,EE-16,69-52,41.8191840000,-88.0822190000
2,138-U*33,Quercus macrocarpa,Bur Oak,Daffodil Glade,,JJ-19,37-43,41.8204960000,-88.0812090000
2,138-U*31,Quercus macrocarpa,Bur Oak,Daffodil Glade,,JJ-19,47-26,41.8205210000,-88.0812730000
2,138-U*9,Quercus macrocarpa,Bur Oak,Lower Joy Path,east side,W-25,02-26,41.8168890000,-88.0789080000
2,138-U*35,Quercus macrocarpa,Bur Oak,Lower Joy Path,east side,W-25,43-26,41.8170010000,-88.0789130000
2,138-U*34,Quercus macrocarpa,Bur Oak,Lower Joy Path,east side,W-25,40-69,41.8169970000,-88.0787550000
