Genus,Species,Accession,Grid,Section,DBH,Circumference,Date Install
Quercus,alba,684-33*1,K-99/41-97,north section,,,
Quercus,alba,862-34*1,J-103/03-73,north section,,,
Quercus,alba,239-42*2,K-98/37-75,north section,,,
Quercus,alba,304-94*1,L-102/64-47,north section,,,
Quercus,alba,304-94*2,L-102/74-14,north section,,,
Quercus,alba,134-U*5,E-104/40-30,south section,,,
Quercus,alba,134-U*6,H-101/60-94,south section,,,
Quercus,alba,134-U*7,J-105/04-27,north section,,,
Quercus,alba,134-U*60,J-102/08-59,north section,,,
Quercus,alba,134-U*61,I-102/75-56,north section,,,
Quercus,bicolor,513-25*1,H-102/80-90,south section,,,
Quercus,bicolor,214-91*1,M-103/66-62,north section,,,
Quercus,bicolor,214-91*2,N-101/43-51,north section,,,
Quercus,bicolor,214-91*3,N-102/40-29,north section,,,
Quercus,bicolor,135-U*1,M-94/80-33,south section,,,
Quercus,macrocarpa,1261-26*1,K-104/50-95,north section,,,
Quercus,macrocarpa,1261-26*2,K-104/80-30,north section,,,
Quercus,macrocarpa,2390-26*1,I-103/25-15,north section,,,
Quercus,macrocarpa,2390-26*2,I-103/70-50,north section,,,
Quercus,macrocarpa,752-34*2,I-105/60-80,north section,,,
Quercus,macrocarpa,752-34*4,J-105/05-95,north section,,,
Quercus,macrocarpa,4-35*1,K-100/44-43,north section,,,
Quercus,macrocarpa,1516-35*1,I-103/40-50,north section,,,
Quercus,macrocarpa,808-51*1,N-102/62-67,north section,,,
Quercus,macrocarpa,138-U*1,N-96/10-00,north section,,,
Quercus,macrocarpa,138-U*4,H-101/33-46,south section,,,
Quercus,macrocarpa,138-U*6,M-102/86-21,north section,,,
Quercus,macrocarpa,138-U*7,M-103/75-07,north section,,,
Quercus,robur,212-30*1,L-99/48-33,north section,,,
Quercus,robur,521-54*1,C-104/70-85,south section,,,
Quercus,robur,701-57*1,D-105/75-00,south section,,,
Quercus,robur,180-93*10,O-98/22-36,north section,,,
Quercus,robur,180-93*7,N-98/59-59,north section,,,
Quercus,robur,180-93*8,N-98/69-88,north section,,,
Quercus,robur,180-93*9,N-99/48-09,north section,,,
Quercus,robur,255-99*1,J-105/69-28,north section,,,
Quercus,robur,519-54*4,G-102/60-70,south section,,,
Quercus,rubra,354-37*1,I-103/38-92,north section,,,
Quercus,rubra,466-37*1,I-102/20-69,north section,,,
Quercus,rubra,542-56*1,I-103/95-16,north section,,,
Quercus,rubra,292-64*1,J-95/48-59,south section,,,
Quercus,rubra,64-92*1,H-101/64-25,south section,,,
Quercus,velutina,185-92*2,K-100/91-43,north section,,,
Quercus,velutina,185-92*4,J-101/39-80,north section,,,
Quercus,velutina,185-92*5,J-101/73-35,north section,,,
