"Timestamp","Observer","Date.Observed","Species","PlantNumber","Notes","leaf.breaking.buds.observed","leaf.breaking.buds.intensity","leaf.present.observed","leaf.present.intensity","leaf.increasing.observed","leaf.increasing.intensity","leaf.color.observed","leaf.color.intensity","leaf.falling.observed","flower.buds.observed","flower.buds.intensity","flower.open.observed","flower.open.intensity","flower.pollen.observed","flower.pollen.intensity","fruit.present.observed","fruit.present.intensity","fruit.ripe.observed","fruit.ripe.intensity","fruit.drop.observed","fruit.drop.intensity","Collection","Year"
2024-03-01,"Garvey",2024-03-01,"Acer freemanii","307-50*3","Most swollen buds are too high to tell if open","No","","No","","No","","No","","No","Yes","1,001-10,000","Did not look for","","No","","No","","No","","No","","Acer","2024"
2024-03-01,"Garvey",2024-03-01,"Acer nigrum","528-63*5","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-01,"Garvey",2024-03-01,"Acer nikoense","218-49*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-01,"Garvey",2024-03-01,"Acer freemanii","307-50*2","","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Acer","2024"
2024-03-01,"Garvey",2024-03-01,"Acer cappadocicum","286-54*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-01,"Garvey",2024-03-01,"Acer freemanii","307-50*1","","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Acer","2024"
2024-03-01,"Garvey",2024-03-01,"Acer nikoense","218-49*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-01,"Garvey",2024-03-01,"Acer nikoense","542-59*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-01,"Garvey",2024-03-01,"Acer palmatum","47-2013*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-01,"Garvey",2024-03-01,"Acer pseudoplatanus","184-2006*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-01,"Garvey",2024-03-01,"Acer saccharum","308-50*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-01,"Garvey",2024-03-01,"Acer stachyophyllum","55-2016*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-01,"Garvey",2024-03-01,"Acer saccharum","308-50*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-01,"Garvey",2024-03-01,"Acer cappadocicum","316-66*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-01,"Garvey",2024-03-01,"Acer sterculiaceum","226-2007*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-01,"Garvey",2024-03-01,"Acer barbinerve","258-2002*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-01,"Garvey",2024-03-01,"Acer barbinerve","258-2002*3","Few just starting to open.","Yes","3-10","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-01,"Garvey",2024-03-01,"Acer saccharum","308-50*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-01,"Garvey",2024-03-01,"Acer saccharum","308-50*4","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-01,"Garvey",2024-03-01,"Acer spp.","181-2006*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-01,"Garvey",2024-03-01,"Acer spp.","9-2017*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-02,"Goldstein",2024-03-02,"Acer triflorum","328-2000*2","","Yes","11-100","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-02,"Goldstein",2024-03-02,"Acer saccharum","239-67*1","","Yes","11-100","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-02,"Goldstein",2024-03-02,"Acer nigrum","528-63*4","","Yes","1,001-10,000","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-02,"Goldstein",2024-03-02,"Acer saccharum","239-67*2","","Yes","101-1,000","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-02,"Goldstein",2024-03-02,"Acer saccharum","8-U*3","","Yes",">10,000","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-02,"Chen",2024-03-02,"Acer spicatum","9-2018*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-02,"Chen",2024-03-02,"Acer griseum","349-54*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-02,"Chen",2024-03-02,"Acer spicatum","9-2018*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-02,"Chen",2024-03-02,"Acer saccharum","66-72*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-02,"Chen",2024-03-02,"Acer davidii","418-2018*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-02,"Chen",2024-03-02,"Acer saccharum","135-69*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
2024-03-02,"Chen",2024-03-02,"Acer cappadocicum","456-2009*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Acer","2024"
