"Timestamp","Observer","Date.Observed","Species","PlantNumber","Notes","leaf.breaking.buds.observed","leaf.breaking.buds.intensity","leaf.present.observed","leaf.present.intensity","leaf.increasing.observed","leaf.increasing.intensity","leaf.color.observed","leaf.color.intensity","leaf.falling.observed","flower.buds.observed","flower.buds.intensity","flower.open.observed","flower.open.intensity","flower.pollen.observed","flower.pollen.intensity","fruit.present.observed","fruit.present.intensity","fruit.ripe.observed","fruit.ripe.intensity","fruit.drop.observed","fruit.drop.intensity","Collection","Year"
2023-03-07,"Barnett",2023-03-07,"Quercus deamii","1258-26*3","","Yes","11-100","Yes","5-24%","No","","No","","No","No","","No","","No","","No","","No","","No","","Quercus","2023"
2023-03-07,"Barnett",2023-03-07,"Quercus macrocarpa","1516-35*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Quercus","2023"
2023-03-10,"Dorrell",2023-03-10,"Quercus  acerifolia","18-2013*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Quercus","2023"
2023-03-10,"Dorrell",2023-03-10,"Quercus  douglasii","612-2015*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Quercus","2023"
2023-03-10,"Dorrell",2023-03-10,"Quercus  schuettei","863-34*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Quercus","2023"
2023-03-10,"Dorrell",2023-03-10,"Quercus  laurifolia","600-2015*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Quercus","2023"
2023-03-10,"Dorrell",2023-03-10,"Quercus  lusitanica","18-2011*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Quercus","2023"
2023-03-10,"Dorrell",2023-03-10,"Quercus  lyrata","179-95*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Quercus","2023"
2023-03-10,"Dorrell",2023-03-10,"Quercus  lusitanica","18-2011*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Quercus","2023"
2023-03-10,"Dorrell",2023-03-10,"Quercus  lusitanica","18-2011*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Quercus","2023"
2023-03-10,"Dorrell",2023-03-10,"Quercus  palustris","139-U*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Quercus","2023"
2023-03-10,"Dorrell",2023-03-10,"Quercus  shumardii","711-2015*6","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Quercus","2023"
2023-03-10,"Dorrell",2023-03-10,"Quercus  gambelii","595-2015*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Quercus","2023"
2023-03-10,"Dorrell",2023-03-10,"Quercus  gambelii","595-2015*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Quercus","2023"
2023-03-10,"Dorrell",2023-03-10,"Quercus  robur","21-2012*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Quercus","2023"
2023-03-10,"Dorrell",2023-03-10,"Quercus  mongolica","333-94*4","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Quercus","2023"
2023-03-10,"Dorrell",2023-03-10,"Quercus  macrocarpa","752-34*4","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Quercus","2023"
2023-03-13,"Meyers",2023-03-13,"Quercus mongolica","403-97*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Quercus","2023"
2023-03-13,"Meyers",2023-03-13,"Quercus mongolica","403-97*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Quercus","2023"
2023-03-13,"Meyers",2023-03-13,"Quercus alba","304-94*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Quercus","2023"
