"Timestamp","Observer","Date.Observed","Species","PlantNumber","Notes","leaf.breaking.buds.observed","leaf.breaking.buds.intensity","leaf.present.observed","leaf.present.intensity","leaf.increasing.observed","leaf.increasing.intensity","leaf.color.observed","leaf.color.intensity","leaf.falling.observed","flower.buds.observed","flower.buds.intensity","flower.open.observed","flower.open.intensity","flower.pollen.observed","flower.pollen.intensity","fruit.present.observed","fruit.present.intensity","fruit.ripe.observed","fruit.ripe.intensity","fruit.drop.observed","fruit.drop.intensity","Collection","Year"
2023-03-12,"Meyers",2023-03-12,"Ulmus parvifolia","476-2006*4","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-12,"Meyers",2023-03-12,"Ulmus prunifolia","19-2008*4","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-12,"Meyers",2023-03-12,"Ulmus prunifolia","19-2008*5","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-12,"Meyers",2023-03-12,"Ulmus americana","678-70*1","","No","","No","","No","","No","","No","Yes",">10,000","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-12,"Meyers",2023-03-12,"Ulmus pumila","883-55*2","","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-12,"Meyers",2023-03-12,"Ulmus americana","485-2019*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-12,"Meyers",2023-03-12,"Ulmus thomasii","201-2013*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-12,"Meyers",2023-03-12,"Ulmus thomasii","201-2013*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-12,"Meyers",2023-03-12,"Ulmus davidiana","398-2013*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-12,"Meyers",2023-03-12,"Ulmus davidiana","398-2013*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-12,"Meyers",2023-03-12,"Ulmus americana","485-2019*2","","No","","No","","No","","No","","No","Yes","101-1,000","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-12,"Meyers",2023-03-12,"Ulmus pseudopropinqua","12-2013*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-12,"Meyers",2023-03-12,"Ulmus pseudopropinqua","12-2013*4","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-12,"Meyers",2023-03-12,"Ulmus pseudopropinqua","12-2013*5","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-12,"Meyers",2023-03-12,"Ulmus chenmoui","30-2022*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus laciniata","50-95*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus crassifolia","385-68*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus castaneifolia","46-95*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus elongata","196-2011*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus macrocarpa","589-54*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus harbinensis","585-2006*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus harbinensis","585-2006*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus hollandica","1457-24*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus hollandica","1114-25*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus parvifolia","991-27*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus hollandica","206-2008*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus hollandica","206-2008*3","","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus chenmoui","128-2008*1","","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus hollandica","206-2008*1","","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus spp.","4-2004*1","","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus spp.","4-2004*3","","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus serotina","272-2007*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus serotina","272-2007*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus serotina","272-2007*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus davidiana","213-2012*1","","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus lamellosa","18-2008*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus parvifolia","52-96*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus castaneifolia","45-95*1","Couldn't find the tree. Will try again.","Did not look for","","Did not look for","","Did not look for","","Did not look for","","Did not look for","Did not look for","","Did not look for","","Did not look for","","Did not look for","","Did not look for","","Did not look for","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus chenmoui","128-2008*2","","No",NA,"No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-13,"Heuser",2023-03-13,"Ulmus  pumila × rubra","287-47*2","","No","","No","","No","","No","","No","Yes",">10,000","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus americana","268-2008*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus glabra","553-2001*4","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus davidiana","181-84*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus spp.","60-2003*1","Has more advanced buds. Tag says ulmus 'Morton Red Tip'","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus microcarpa","588-2006*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus davidiana","22-2008*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus spp.","176-2004*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus pumila","883-55*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus parvifolia","635-2006*1","I put a ? for Fruit observed. I observed fruit but there are no buds on the tree. I am assuming the fruit is from last year. ","No","","No","","No","","No","","No","No","","No","","No","","?","11-100","Yes",">95%","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus hollandica","76-72*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus pseudopropinqua","587-2006*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus microcarpa","362-2006*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus lamellosa","18-2008*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus minor","756-60*1","On the tag it is listed as ulmus procera, English Elm. ","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus davidiana","22-2008*2","Buds look like they could break soon.","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus davidiana","52-95*5","The tag lists the tree as Japanese Bigfruit Hybrid Elm, ulmus x mesocarpa (not davidiana)","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus davidiana","52-95*4","The tag lists the tree as Japanese Bigfruit Hybrid Elm, ulmus x mesocarpa (not davidiana)","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus hollandica","535-49*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus thomasii","106-2011*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-15,"Garvey",2023-03-14,"Ulmus spp.","50-96*1","","No","","No","","No","","No","","No","Yes","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus spp.","212-2004*1","Buds are fuller. Tag lists the tree as ulmus 'Morton Glossy'","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus minor","117-96*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus hollandica","535-49*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus americana","214-2012*1","Buds seem very close to breaking.","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus alata","116-96*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-14,"Hartley",2023-03-13,"Ulmus laevis","27-98*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-15,"Garvey",2023-03-14,"Ulmus crassifolia","14-86*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-15,"Garvey",2023-03-14,"Ulmus parvifolia","48-86*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-15,"Garvey",2023-03-14,"Ulmus parvifolia","634-2006*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-15,"Garvey",2023-03-14,"Ulmus macrocarpa","446-2007*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-15,"Garvey",2023-03-14,"Ulmus alata","116-96*2","Unsure if these are flower or leaf buds.","No","","No","","No","","No","","No","?","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-15,"Garvey",2023-03-14,"Ulmus macrocarpa","179-84*5","","No","","No","","No","","No","","No","Yes","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-15,"Garvey",2023-03-14,"Ulmus chenmoui","49-95*5","","No","","No","","No","","No","","No","Yes","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-15,"Garvey",2023-03-14,"Ulmus davidiana","495-2004*5","","No","","No","","No","","No","","No","Yes","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-15,"Garvey",2023-03-14,"Ulmus davidiana","495-2004*4","","No","","No","","No","","No","","No","Yes","","No","","No","","No","","No","","No","","Ulmus","2023"
2023-03-15,"Garvey",2023-03-14,"Ulmus davidiana","495-2004*6","","No","","No","","No","","No","","No","Yes","","No","","No","","No","","No","","No","","Ulmus","2023"
