"Timestamp","Observer","Date.Observed","Species","PlantNumber","Notes","leaf.breaking.buds.observed","leaf.breaking.buds.intensity","leaf.present.observed","leaf.present.intensity","leaf.increasing.observed","leaf.increasing.intensity","leaf.color.observed","leaf.color.intensity","leaf.falling.observed","flower.buds.observed","flower.buds.intensity","flower.open.observed","flower.open.intensity","flower.pollen.observed","flower.pollen.intensity","fruit.present.observed","fruit.present.intensity","fruit.ripe.observed","fruit.ripe.intensity","fruit.drop.observed","fruit.drop.intensity","Collection","Year"
2024-03-01,"Garvey",2024-03-01,"Ulmus davidiana","495-2004*4","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Prince",2024-03-01,"Ulmus pseudopropinqua","587-2006*1","","No","","No","","No","","No","","No","Yes",">10,000","Yes","50-74%","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Prince",2024-03-01,"Ulmus microcarpa","362-2006*1","","No","","No","","No","","No","","No","Yes","101-1,000","Yes","50-74%","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Prince",2024-03-01,"Ulmus hollandica","76-72*1","","No","","No","","No","","No","","No","Yes",">10,000","?","<5%","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Prince",2024-03-01,"Ulmus pumila","883-55*1","","No","","No","","No","","No","","No","Yes",">10,000","Yes","25-49%","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Prince",2024-03-01,"Ulmus microcarpa","588-2006*1","","No","","No","","No","","No","","No","Yes","101-1,000","Yes","25-49%","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Prince",2024-03-01,"Ulmus americana","268-2008*1","","No","","No","","No","","No","","No","Yes","1,001-10,000","Yes","75-94%","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Prince",2024-03-01,"Ulmus davidiana","181-84*2","","No","","No","","No","","No","","No","Yes","1,001-10,000","Yes","5-24%","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Prince",2024-03-01,"Ulmus spp.","60-2003*1","","No","","No","","No","","No","","No","Yes","101-1,000","Yes","25-49%","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Prince",2024-03-01,"Ulmus davidiana","52-95*5","","No","","No","","No","","No","","No","Yes","1,001-10,000","Yes","50-74%","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Prince",2024-03-01,"Ulmus davidiana","52-95*4","","No","","No","","No","","No","","No","Yes","1,001-10,000","Yes","50-74%","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Prince",2024-03-01,"Ulmus minor","117-96*2","","No","","No","","No","","No","","No","Yes","101-1,000","Yes","25-49%","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Prince",2024-03-01,"Ulmus americana","214-2012*1","","No","","No","","No","","No","","No","Yes","1,001-10,000","Yes","75-94%","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Prince",2024-03-01,"Ulmus spp.","212-2004*1","","No","","No","","No","","No","","No","Yes","1,001-10,000","Yes","25-49%","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Prince",2024-03-01,"Ulmus laevis","27-98*1","","No","","No","","No","","No","","No","Yes","101-1,000","Yes","75-94%","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus chenmoui","49-95*5","Buds at top of canopy especially plump. ","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus davidiana","495-2004*5","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus davidiana","495-2004*6","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus parvifolia","634-2006*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus minor","591-22*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus minor","1463-24*1","","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus hollandica","29-2007*1","","No","","No","","No","","No","","No","Yes","101-1,000","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus macrocarpa","179-84*5","","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus hollandica","338-46*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus hollandica","1457-24*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus hollandica","1457-24*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus hollandica","652-62*1","","No","","No","","No","","No","","No","Yes","101-1,000","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus parvifolia","14-86*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus alata","116-96*2","","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus spp.","50-96*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus minor","593-22*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus hollandica","593-30*2","","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus minor","591-54*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus macrocarpa","446-2007*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus davidiana","266-2017*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus macrocarpa","446-2007*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus parvifolia","48-86*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus hollandica","29-2007*2","","No","","No","","No","","No","","No","Yes","101-1,000","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-01,"Garvey",2024-03-01,"Ulmus hollandica","206-2008*4","","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus laciniata","50-95*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus castaneifolia","45-95*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus hollandica","1457-24*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus hollandica","1114-25*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus chenmoui","128-2008*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus parvifolia","991-27*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus hollandica","206-2008*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus chenmoui","128-2008*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus hollandica","206-2008*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus hollandica","206-2008*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus spp.","4-2004*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus spp.","4-2004*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus serotina","272-2007*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus serotina","272-2007*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus serotina","272-2007*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus davidiana","213-2012*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus lamellosa","18-2008*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus elongata","196-2011*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus macrocarpa","589-54*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus pumila × rubra","287-47*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus harbinensis","585-2006*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus harbinensis","585-2006*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus crassifolia","385-68*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-02,"Wagner",2024-03-02,"Ulmus parvifolia","52-96*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus laciniata","50-95*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus crassifolia","385-68*1","Some residual leaves from 2023 growing season.","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus hollandica","1457-24*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus hollandica","1114-25*1","","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus chenmoui","128-2008*1","","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus parvifolia","991-27*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus hollandica","206-2008*2","","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus chenmoui","128-2008*2","","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus hollandica","206-2008*3","","No","","No","","No","","No","","No","Yes","1,001-10,000","Yes","<5%","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus spp.","4-2004*1","","No","","No","","No","","No","","No","Yes","11-100","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus spp.","4-2004*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus serotina","272-2007*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus serotina","272-2007*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus serotina","272-2007*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus davidiana","213-2012*1","","No","","No","","No","","No","","No","Yes","1,001-10,000","Yes","75-94%","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus lamellosa","18-2008*3","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus hollandica","206-2008*1","","No","","No","","No","","No","","No","Yes","1,001-10,000","Yes","5-24%","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus pumila × rubra","287-47*2","","No","","No","","No","","No","","No","Yes","1,001-10,000","Yes","75-94%","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus elongata","196-2011*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus macrocarpa","589-54*3","","No","","No","","No","","No","","No","Yes","101-1,000","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus harbinensis","585-2006*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus harbinensis","585-2006*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus parvifolia","52-96*1","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-04,"Heuser",2024-03-04,"Ulmus castaneifolia","45-95*1","","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-03,"Goldstein",2024-03-04,"Ulmus thomasii","201-2013*3","","Yes","101-1,000","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-03,"Goldstein",2024-03-04,"Ulmus prunifolia","19-2008*4","","Yes","11-100","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-03,"Goldstein",2024-03-04,"Ulmus prunifolia","19-2008*5","","Yes","11-100","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-03,"Goldstein",2024-03-04,"Ulmus parvifolia","476-2006*4","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-03,"Goldstein",2024-03-04,"Ulmus pseudopropinqua","12-2013*5","","Yes","101-1,000","No","","No","","No","","No","Yes","11-100","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-03,"Goldstein",2024-03-04,"Ulmus pseudopropinqua","12-2013*3","","Yes","101-1,000","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-03,"Goldstein",2024-03-04,"Ulmus americana","485-2019*2","","Yes","101-1,000","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-03,"Goldstein",2024-03-04,"Ulmus americana","485-2019*3","","Yes","101-1,000","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-03,"Goldstein",2024-03-04,"Ulmus pumila","883-55*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-03,"Goldstein",2024-03-04,"Ulmus pseudopropinqua","12-2013*4","","No","","No","","No","","No","","No","Yes","1,001-10,000","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-03,"Goldstein",2024-03-04,"Ulmus davidiana","398-2013*3","","Yes","11-100","No","","No","","No","","No","Yes","11-100","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-03,"Goldstein",2024-03-04,"Ulmus americana","678-70*1","","No","","No","","No","","No","","No","Yes",">10,000","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-03,"Goldstein",2024-03-04,"Ulmus davidiana","398-2013*2","","Yes","101-1,000","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
2024-03-03,"Goldstein",2024-03-04,"Ulmus thomasii","201-2013*2","","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","Ulmus","2024"
